1rZXlwg5Yv1aNk9joDmG;BRn3x72JQ2DYzOMok418;500
1rZXlwg5Yv1aNk9joDmG;XyeZRGx9YjD4QB80gWlP;5
1rZXlwg5Yv1aNk9joDmG;bAB1E9poQqDbLnakeJj5;5
1rZXlwg5Yv1aNk9joDmG;gGZ2J71yYKMyQMmjbown;100
1rZXlwg5Yv2GYk9joDmG;yav4OK1wNER2YZP7rzJb;2
1rZXlwg5Yv2GYk9joDmG;ZqEegBydNwJ0QkA59J61;8
1rZXlwg5Yv2GYk9joDmG;JZdg5V3PQoD9NEyWq0zl;3
1rZXlwg5YvbkYk9joDmG;Ro31P7kZL6AYveGxXOy5;300
1rZXlwg5YvbkYk9joDmG;brz9RZnWN7aLKAp0Mdle;200
1rZXlwg5YvbkYk9joDmG;ElzPeorXNVlxLaW0kv53;5
1rZXlwg5YvbkYk9joDmG;oZwey82VNAKnLD0dXM3g;5
1rZXlwg5YvbkYk9joDmG;93R0qXalLlDyLAbn8DBg;5
1rZXlwg5YvbkYk9joDmG;1rZXlwg5YvkwLk9joDmG;15
1rZXlwg5YvbkYk9joDmG;XjEaOeBkLayrLlGwxVPq;5
27gw0k38L47EYWevJxyK;jGXBy7a4LbMY0Pw6Vdgl;500
27gw0k38L47EYWevJxyK;zvjoJW96Y8mWL3RaAylw;30
27gw0k38L47EYWevJxyK;j98bO5w1QPvlY3xkREVJ;20
27gw0k38L4jxNWevJxyK;zvjoJW96Y8mWL3RaAylw;6
27gw0k38L4jxNWevJxyK;JVM29l7kQZ0mY80q6WDG;1
27gw0k38L4z9NWevJxyK;BRn3x72JQ2DYzOMok418;500
27gw0k38L4z9NWevJxyK;Ro31P7kZL6r6LveGxXOy;30
27gw0k38L4z9NWevJxyK;P1vlVrzjLrgwQao8mGKM;30
27gw0k38L4z9NWevJxyK;oaJydnOmQWlZNbgRe5ME;7
3Zbym56qLxAyQBRp7Eek;BRn3x72JQ2DYzOMok418;500
3Zbym56qLxAyQBRp7Eek;P1vlVrzjLrgDQao8mGKM;10
3Zbym56qLxAyQBRp7Eek;dgBq1boWYek4QkJ3rXaD;60
3Zbym56qLxAyQBRp7Eek;RVrBKlPdNdOxQWG8xJe9;2
3Zbym56qLxG1YBRp7Eek;BRn3x72JQ2DYzOMok418;500
3Zbym56qLxG1YBRp7Eek;27gw0k38L4qrQWevJxyK;10
3Zbym56qLxG1YBRp7Eek;lrx463VdQgD9N5w1zWKP;15
3Zbym56qLxG1YBRp7Eek;y7Do6jgkY0VjQ8BAdKX0;15
3Zbym56qLxb1NBRp7Eek;XyeZRGx9YjKLB80gWlPa;300
3Zbym56qLxb1NBRp7Eek;Ro31P7kZL6AYveGxXOy5;200
3Zbym56qLxb1NBRp7Eek;7eA59WrBQRlKYzb62qKv;15
3Zbym56qLxb1NBRp7Eek;XyeZRGx9YjD4QB80gWlP;10
3Zbym56qLxb1NBRp7Eek;ZjlPA8v9NMybNEyMe2Oa;20
3Zbym56qLxyEQBRp7Eek;BRn3x72JQ2DYzOMok418;500
3Zbym56qLxyEQBRp7Eek;XyeZRGx9YjD4QB80gWlP;10
3Zbym56qLxyEQBRp7Eek;brz9RZnWN7yBLKAp0Mdl;10
3Zbym56qLxyEQBRp7Eek;RVrBKlPdNdOxQWG8xJe9;5
3Zbym56qLxyEQBRp7Eek;doyA279pNzlRLKRDEWm8;35
3Zbym56qLxzyNBRp7Eek;jGXBy7a4LbMY0Pw6Vdgl;500
3Zbym56qLxzyNBRp7Eek;zvjoJW96Y8mWL3RaAylw;10
3Zbym56qLxzyNBRp7Eek;njoPWKDkLXeAQ06ZOX79;20
3ZvrGV8RQp5BN2wgA5jD;27gw0k38L4qrQWevJxyK;2
3ZvrGV8RQpAmN2wgA5jD;jGXBy7a4LbMY0Pw6Vdgl;500
3ZvrGV8RQpAmN2wgA5jD;P1vlVrzjLrgDQao8mGKM;15
3ZvrGV8RQpAmN2wgA5jD;XyeZRGx9YjD4QB80gWlP;4
3ZvrGV8RQpAmN2wgA5jD;Ro31P7kZL6r6LveGxXOy;30
3ZvrGV8RQpAmN2wgA5jD;0kK49j1VN9mxNq6B2doa;1
3ZvrGV8RQpMyN2wgA5jD;DBngxedVYJqlNX64wW8o;23
3ZvrGV8RQpMyN2wgA5jD;q9pwa0kxLBnVLgVj136l;1
3ZvrGV8RQpX8Q2wgA5jD;BRn3x72JQ2DYzOMok418;500
3ZvrGV8RQpX8Q2wgA5jD;Z6aDoyRnLy2yQpV5AGXm;15
3ZvrGV8RQpX8Q2wgA5jD;y7Do6jgkY01jL8BAdKX0;20
3ZvrGV8RQpw8L2wgA5jD;y7Do6jgkY0zQ8BAdKX0E;500
3ZvrGV8RQpw8L2wgA5jD;O2xMjGdBN5M6N9P1nyrv;6
3ZvrGV8RQpw8L2wgA5jD;BRn3x72JQ26lQzOMok41;10
3ZvrGV8RQpzmY2wgA5jD;jGXBy7a4LbMY0Pw6Vdgl;500
3ZvrGV8RQpzmY2wgA5jD;B2WEpv54NmORLj1xJrXk;4
3yE1A84kYOa6Ql6XeVKp;jGXBy7a4LbMY0Pw6Vdgl;500
3yE1A84kYOa6Ql6XeVKp;XyeZRGx9YjD4QB80gWlP;12
3yE1A84kYOa6Ql6XeVKp;Ro31P7kZL6r6LveGxXOy;10
3yE1A84kYOdDLl6XeVKp;jGXBy7a4LbMY0Pw6Vdgl;500
3yE1A84kYOdDLl6XeVKp;Ro31P7kZL6r6LveGxXOy;5
3yE1A84kYOdDLl6XeVKp;27gw0k38L4qZQWevJxyK;5
3yE1A84kYOdDLl6XeVKp;q9pwa0kxLBVpLgVj136l;40
3yE1A84kYOdDLl6XeVKp;BPjze3x2Q31OYR85vgZV;5
